Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Progressive Mask Distillation for Self-supervised Video Representation,Progressive Mask Distillation (PMD),Generative / Masked,Kinetics-400; ImageNet-1K,Something-Something V2; Kinetics-400; UCF101; HMDB51,2026,CVPR 2026,peer_reviewed,,2026-08-11
TrackMAE: Video Representation Learning via Track Mask and Predict,TrackMAE,Generative / Masked,Kinetics-400,Kinetics-400; HMDB51; Something-Something V2; FineGYM; UCF101; UCFRep; Charades,2026,CVPR 2026,peer_reviewed,,2026-08-11
V-JEPA 2.1: Unlocking Dense Features in Video Self-Supervised Learning,V-JEPA 2.1,Pretext / Predictive,VisionMix-163M; Something-Something V2; Kinetics; HowTo100M; YT-1B; LVD-142M,Ego4D STA v2; EPIC-KITCHENS-100; NYUv2; KITTI; ADE20K; PASCAL VOC12; Cityscapes; DAVIS 2017; YouTube-VOS; Something-Something V2; Kinetics-400; Diving48; ImageNet-1K; Perception Test; Minimal Video Pairs; TempCompass; TemporalBench; TOMATO; MVBench; TVBench; RECON; TartanDrive; SCAND; SACSoN,2026,arXiv preprint,preprint,,2026-08-11
From Static to Dynamic: Exploring Self-supervised Image-to-Video Representation Transfer Learning,Co-Settle,Pretext / Predictive,Kinetics-400,VIP; DAVIS 2017; JHMDB; Breakfast; UCF101; HMDB51; Something-Something V2; Chiral Something-Something V2; BADJA; TAP-DAVIS; Kinetics-400,2026,CVPR 2026,peer_reviewed,,2026-08-11
The TIME Machine: On The Power of Motion for Efficient Perception,TIME (Temporally Informed Motion Embedding),Generative / Masked,Kubric MOVi-B,Something-Something V2; CLEVRER; Diving48; Ego-Exo4D,2026,arXiv preprint,preprint,,2026-08-11
TrAction: Action Recognition with Sparse Trajectories,TrAction,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; EPIC-KITCHENS-100; Invariant Action Recognition Dataset; Chirality in Action,2026,arXiv preprint,preprint,,2026-08-11
OneVision-Encoder: Codec-Aligned Sparsity as a Foundational Principle for Multimodal Intelligence,OneVision-Encoder (OV-Encoder),Contrastive,LAION-400M; COYO-700M; OBELICS; Zero250M; ImageNet-21K; HowTo100M; Panda-70M; Kinetics-710; Something-Something V2,Something-Something V2; Diving48; Perception Test; Charades-Ego; EPIC-KITCHENS-100; Kinetics-400; HMDB51,2026,arXiv preprint,preprint,,2026-08-11
Factorized Latent Dynamics for Video JEPA: An Empirical Study of Auxiliary Objectives,FWM-HW-LD,Pretext / Predictive,UCF101; Something-Something V2; ImageNet-100,Diving48; Something-Something V2; ImageNet-100,2026,arXiv preprint,preprint,,2026-08-11
Self-Supervised Learning of Structured Dynamics from Videos,Structured Dynamics Model (SDM),Pretext / Predictive,Kubric; Something-Something V2; DL3DV,Kubric; DL3DV; CameraBench; DAVIS 2017; YouTube-VOS; Something-Something V2,2026,arXiv preprint,preprint,,2026-08-11
Depth-Wise Representation Development Under Blockwise Self-Supervised Learning for Video Vision Transformers,Blockwise SSL VideoMAE (BWSSL),Generative / Masked,UCF101,UCF101; Synthetic drifting-grating probes,2026,arXiv preprint,preprint,,2026-08-11
Beyond reconstruction: Enhancing masked autoencoders with contrastive learning for video representation learning,Beyond Reconstruction (BR),Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2026,"Engineering Applications of Artificial Intelligence, volume 171, article 114283 (2026)",peer_reviewed,10.1016/j.engappai.2026.114283,2026-08-11
"Structured-Noise Masked Modeling for Video, Audio and Beyond",Structured-Noise Masked Modeling,Generative / Masked,Kinetics-400; Something-Something V2; AudioSet-2M; VGGSound,Kinetics-400; Something-Something V2; DAVIS; YouTube-VOS; AudioSet-20K; AudioSet-2M; ESC-50; VGGSound,2026,ECCV 2026,peer_reviewed,,2026-08-11
Rethinking JEPA: Compute-Efficient Video SSL with Frozen Teachers,SALT,Pretext / Predictive,Kinetics-710; Something-Something V2; Panda-70M; ImageNet-1K,Kinetics-400; Something-Something V2; COIN; Jester; Diving48; ImageNet-1K; IntPhys; GRASP; InfLevel,2026,ICLR 2026,peer_reviewed,,2026-08-11
Recurrent Video Masked Autoencoders,Recurrent Video Masked Autoencoder (RVM),Generative / Masked,HowTo100M; Kinetics-700; Something-Something V2; YouTube-BoundingBoxes; YouTube-8M,Something-Something V2; Kinetics-700; Waymo Open; Perception Test; ScanNet; DAVIS 2017; JHMDB; VIP,2026,CVPR 2026,peer_reviewed,,2026-08-11
Dual Perspectives on Non-Contrastive Self-Supervised Learning,Dual-Perspective Non-Contrastive SSL Analysis,Contrastive,Kinetics-710; Something-Something V2; Synthetic linear data,Kinetics-400; Something-Something V2; Synthetic linear data,2026,ICLR 2026,peer_reviewed,,2026-08-11
Self-Supervised Video Representation Learning in a Heuristic Decoupled Perspective,BOD-VCL,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2; FineGym; AVA; Diving48; Static-Dynamic UCF101,2026,International Journal of Computer Vision 2026,peer_reviewed,10.1007/s11263-026-02785-4,2026-08-11
BIMM: Brain Inspired Masked Modeling for Video Representation Learning,BIMM,Generative / Masked,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2; COCO; ADE20K,2026,IEEE Transactions on Circuits and Systems for Video Technology 2026,peer_reviewed,10.1109/TCSVT.2026.3683701,2026-08-11
