Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Self-Supervised Learning to Detect Key Frames in Videos,Automatic Key-Frame Detection,Other / Hybrid,UCF101; ImageNet-1K,UCF101; VSUMM,2020,Sensors 2020,peer_reviewed,10.3390/s20236941,2026-08-11
Self-supervised motion representation via scattering local motion cues,Scattering Local Motion Cues,Pretext / Predictive,UCF101; Kinetics-400,UCF101; UCF-Flow; UCF-Pred; Kinetics-400; Kinetics-600; HMDB51,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58568-6_5,2026-08-11
Self-supervised video representation learning using inter-intra contrastive framework,Inter-Intra Contrastive Learning (IIC),Contrastive,UCF101,UCF101; HMDB51,2020,ACM Multimedia 2020,peer_reviewed,10.1145/3394171.3413694,2026-08-11
Video representation learning with visual tempo consistency,Visual Tempo Hierarchical Contrastive Learning (VTHCL),Contrastive,Kinetics-400,UCF101; HMDB51; AVA; EPIC-KITCHENS-55,2020,arXiv / Preprint,preprint,,2026-08-11
Self-supervised temporal discriminative learning for video representation learning,Video-Based Temporal-Discriminative Learning (VTDL),Contrastive,UCF101; HMDB51; Kinetics-400,UCF101; HMDB51,2020,arXiv / Preprint,preprint,,2026-08-11
Self-supervised learning by cross-modal audio-video clustering,Cross-Modal Deep Clustering (XDC),Multimodal / Audio-Visual,Kinetics-400; AudioSet; AudioSet-240K; Instagram-65M,UCF101; HMDB51; ESC-50,2020,NeurIPS 2020,peer_reviewed,,2026-08-11
Self-supervised video representation learning by pace prediction,Pace Prediction,Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58568-6_31,2026-08-11
Unsupervised learning from video with deep neural embeddings,Video Instance Embedding (VIE),Contrastive,Kinetics-400,Kinetics-400; ImageNet-1K; UCF101; HMDB51,2020,CVPR 2020,peer_reviewed,,2026-08-11
Unsupervised learning of video representations via dense trajectory clustering,IDT-Guided Video Local Aggregation,Clustering / Prototypes,Kinetics-400,UCF101; HMDB51,2020,ECCV Workshops 2020,peer_reviewed,10.1007/978-3-030-66096-3_28,2026-08-11
Video representation learning by recognizing temporal transformations,Recognizing Temporal Transformations (RTT),Pretext / Predictive,UCF101; Kinetics-600,UCF101; HMDB51,2020,ECCV 2020,peer_reviewed,10.1007/978-3-030-58604-1_26,2026-08-11
Video playback rate perception for self-supervised spatio-temporal representation learning,Playback Rate Perception (PRP),Other / Hybrid,UCF101; HMDB51,UCF101; HMDB51,2020,CVPR 2020,peer_reviewed,10.1109/CVPR42600.2020.00658,2026-08-11
Self-supervised co-training for video representation learning,CoCLR,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Kinetics-400,2020,NeurIPS 2020,peer_reviewed,,2026-08-11
Video cloze procedure for self-supervised spatio-temporal learning,Video Cloze Procedure (VCP),Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2020,AAAI 2020,peer_reviewed,10.1609/aaai.v34i07.6840,2026-08-11
End-to-end learning of visual representations from uncurated instructional videos,Multiple-Instance Noise-Contrastive Estimation (MIL-NCE),Multimodal / Video-Language,HowTo100M,HMDB51; UCF101; Kinetics-700; YouCook2; MSR-VTT; YouTube-8M Segments; CrossTask; COIN,2020,CVPR 2020,peer_reviewed,,2026-08-11
