Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
BEVT: BERT Pretraining of Video Transformers,BEVT,Generative / Masked,ImageNet-1K; Kinetics-400; Something-Something V2; HowTo100M,Kinetics-400; Something-Something V2; Diving48,2022,CVPR 2022,peer_reviewed,,2026-08-11
Masked Autoencoders As Spatiotemporal Learners,MAE-ST,Generative / Masked,ImageNet-1K; Kinetics-400; Kinetics-600; Kinetics-700; Instagram videos,Kinetics-400; AVA v2.2; Something-Something V2,2022,NeurIPS 2022,peer_reviewed,,2026-08-11
SPAct: Self-supervised Privacy Preservation for Action Recognition,SPAct,Other / Hybrid,UCF101; HMDB51; PA-HMDB; VISPR; P-HVU,UCF101; HMDB51; PA-HMDB; VISPR; P-HVU,2022,CVPR 2022,peer_reviewed,,2026-08-11
Suppressing Static Visual Cues via Normalizing Flows for Self-Supervised Video Representation Learning,Static-cue suppression with normalizing flows,Contrastive,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2022,AAAI 2022,peer_reviewed,,2026-08-11
Self-supervised Video Transformer,SVT,Distillation / Teacher-Student,Kinetics-400,Kinetics-400; UCF101; HMDB51; Something-Something V2,2022,CVPR 2022,peer_reviewed,,2026-08-11
Exploring Relations in Untrimmed Videos for Self-Supervised Learning,ERUV,Pretext / Predictive,THUMOS14; UCF101,UCF101; HMDB51,2022,"ACM Transactions on Multimedia Computing, Communications, and Applications 2022",peer_reviewed,10.1145/3473342,2026-08-11
MaMiCo: Macro-to-Micro Semantic Correspondence for Self-supervised Video Representation Learning,MaMiCo,Contrastive,AVA; AVA-Kinetics; JHMDB-21; UCF101-24,AVA; AVA-Kinetics; JHMDB-21; UCF101-24,2022,ACM Multimedia 2022,peer_reviewed,10.1145/3503161.3547888,2026-08-11
TCGL: Temporal Contrastive Graph for Self-Supervised Video Representation Learning,TCGL,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Something-Something V2,2022,IEEE Transactions on Image Processing 2022,peer_reviewed,10.1109/TIP.2022.3152521,2026-08-11
Cross-Architecture Self-supervised Video Representation Learning,CACL,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51,2022,CVPR 2022,peer_reviewed,,2026-08-11
Contrastive spatio-temporal pretext learning for self-supervised video representation,CSTP,Other / Hybrid,UCF101; Kinetics-400,UCF101; HMDB51,2022,AAAI 2022,peer_reviewed,10.1609/aaai.v36i3.20248,2026-08-11
