Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Self-supervised object-centric learning for videos,SOLV,Other / Hybrid,MOVi-E; DAVIS 2017; YouTube-VIS 2019,MOVi-E; DAVIS 2017; YouTube-VIS 2019,2023,NeurIPS 2023,peer_reviewed,10.52202/075280-1424,2026-08-11
Language-based Action Concept Spaces Improve Video Self-Supervised Learning,Language-based Self-Supervision (LSS),Multimodal / Audio-Visual,Kinetics-400,Kinetics-400; UCF101; HMDB51; Charades,2023,NeurIPS 2023,peer_reviewed,10.52202/075280-3277,2026-08-11
Uncovering the Hidden Dynamics of Video Self-supervised Learning under Distribution Shifts,"Controlled comparison of v-SimCLR, v-MoCo, v-BYOL, v-SimSiam, v-DINO, and v-MAE",Other / Hybrid,Kinetics-400; Kinetics-700,UCF101; HMDB51; Mimetics10; Mimetics50; Charades-Ego; TinyVIRAT-v2; Sims4Action; ActorShift; RareAct; Moments in Time v2; ToyBox; COIL-100; STL-10,2023,NeurIPS 2023,peer_reviewed,10.52202/075280-2340,2026-08-11
Self-supervised video pretraining yields robust and more human-aligned visual representation,VITO,Contrastive,VideoNet; AudioSet; YouTube-8M; Kinetics-700; ImageNet-1K; JFT-300M,ADE20K; COCO; DAVIS; UCF101; PASCAL VOC; LVIS; ImageNet-1K; ImageNet-A; ImageNet-Vid-Robust; ImageNet-3DCC; ClickMe,2023,NeurIPS 2023,peer_reviewed,10.52202/075280-2869,2026-08-11
AdaMAE: Adaptive Masking for Efficient Spatiotemporal Learning with Masked Autoencoders,AdaMAE,Generative / Masked,Something-Something V2; Kinetics-400,Something-Something V2; Kinetics-400,2023,CVPR 2023,peer_reviewed,,2026-08-11
Spatio-Temporal Crop Aggregation for Video Representation Learning,SCALE,Other / Hybrid,Kinetics-400; UCF101; HMDB51; Something-Something V2,Kinetics-400; UCF101; HMDB51; Something-Something V2; Long-form Video Understanding (LVU),2023,ICCV 2023,peer_reviewed,,2026-08-11
Motion-Guided Masking for Spatiotemporal Representation Learning,Motion-Guided Masking (MGM),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; Diving48,2023,ICCV 2023,peer_reviewed,,2026-08-11
Fine-Grained Spatiotemporal Motion Alignment for Contrastive Video Representation Learning,FIMA,Contrastive,UCF101; Kinetics-400,UCF101; HMDB51; Diving48; Kinetics-400,2023,ACM Multimedia 2023,peer_reviewed,10.1145/3581783.3611932,2026-08-11
Unmasked Teacher: Towards Training-Efficient Video Foundation Models,Unmasked Teacher (UMT),Distillation / Teacher-Student,Kinetics-710; Something-Something V2; Kinetics-400; WebVid-2M; WebVid-10M; Conceptual Captions 3M; Conceptual Captions 12M; COCO; Visual Genome; SBU Captions,Kinetics-400; Kinetics-600; Kinetics-700; Something-Something V2; Moments in Time V1; AVA v2.2; MSR-VTT; DiDeMo; ActivityNet Captions; LSMDC; MSVD; ActivityNet-QA; MSRVTT-QA; MSRVTT-MC; MSVD-QA,2023,ICCV 2023,peer_reviewed,,2026-08-11
Concatenated Masked Autoencoders as Spatial-Temporal Learner,CatMAE,Generative / Masked,Kinetics-400,DAVIS 2017; Kinetics-400,2023,arXiv / Preprint,preprint,,2026-08-11
AV-MaskEnhancer: Enhancing Video Representations through Audio-Visual Masked Autoencoder,AV-MaskEnhancer,Multimodal / Audio-Visual,Kinetics-400,UCF101,2023,ICTAI 2023,peer_reviewed,,2026-08-11
OmniMAE: Single Model Masked Pretraining on Images and Videos,OmniMAE,Generative / Masked,ImageNet-1K; Something-Something V2,ImageNet-1K; iNaturalist 2018; Places365; Kinetics-400; Something-Something V2; EPIC-KITCHENS-100,2023,CVPR 2023,peer_reviewed,,2026-08-11
TimeBalance: Temporally-Invariant and Temporally-Distinctive Video Representations for Semi-Supervised Action Recognition,TimeBalance,Distillation / Teacher-Student,Kinetics-400; UCF101; HMDB51,Kinetics-400; UCF101; HMDB51,2023,CVPR 2023,peer_reviewed,,2026-08-11
Attentive spatial-temporal contrastive learning for self-supervised video representation,ASTCNet,Contrastive,UCF101; HMDB51,UCF101; HMDB51,2023,Image and Vision Computing 2023,peer_reviewed,10.1016/j.imavis.2023.104765,2026-08-11
MGMAE: Motion Guided Masking for Video Masked Autoencoding,MGMAE,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2023,ICCV 2023,peer_reviewed,,2026-08-11
Cross-modal Manifold Cutmix for Self-supervised Video Representation Learning,Cross-modal Manifold CutMix (CMMC / STC-mix),Multimodal / Audio-Visual,UCF101; HMDB51; NTU RGB+D 60,UCF101; HMDB51; NTU RGB+D 60,2023,MVA 2023,peer_reviewed,,2026-08-11
CHAIN: Exploring Global-Local Spatio-Temporal Information for Improved Self-Supervised Video Hashing,CHAIN,Other / Hybrid,FCVID; UCF101; ActivityNet; HMDB51,FCVID; UCF101; ActivityNet; HMDB51,2023,ACM Multimedia 2023,peer_reviewed,10.1145/3581783.3613440,2026-08-11
Data-Efficient Masked Video Modeling for Self-supervised Action Recognition,Data-Efficient Masked Video Modeling (DEMVM),Generative / Masked,UCF101; HMDB51,UCF101; HMDB51; Diving48,2023,ACM Multimedia 2023,peer_reviewed,10.1145/3581783.3612496,2026-08-11
Temporal Transformer Networks with Self-Supervision for Action Recognition,Temporal Transformer Self-Supervision Network (TTSN),Pretext / Predictive,ImageNet-1K; Kinetics-400,HMDB51; UCF101; Something-Something V1,2023,IEEE Internet of Things Journal 2023,peer_reviewed,10.1109/JIOT.2023.3257992,2026-08-11
CMAE-V: Contrastive Masked Autoencoders for Video Action Recognition,CMAE-V,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2,2023,arXiv / Preprint,preprint,,2026-08-11
Learning Representational Invariances for Data-Efficient Action Recognition,Representational-invariance augmentation study,Contrastive,UCF101; HMDB51; Kinetics-100; Kinetics-400; Mini Something-Something V2,UCF101; HMDB51; Kinetics-100; Mini Something-Something V2,2023,Computer Vision and Image Understanding 2023,peer_reviewed,10.1016/j.cviu.2022.103597,2026-08-11
SOR-TC: Self-attentive octave ResNet with temporal consistency for compressed video action recognition,SOR-TC,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2023,Neurocomputing 2023,peer_reviewed,10.1016/j.neucom.2023.02.045,2026-08-11
Masked Motion Encoding for Self-Supervised Video Representation Learning,Masked Motion Encoding (MME),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,2023,CVPR 2023,peer_reviewed,,2026-08-11
Spatiotemporal consistency enhancement self-supervised representation learning for action recognition,Spatiotemporal Consistency Enhancement (STCE),Contrastive,UCF101; HMDB51,UCF101; HMDB51,2023,"Signal, Image and Video Processing 2023",peer_reviewed,10.1007/s11760-022-02357-2,2026-08-11
Self-Supervised Video-Based Action Recognition With Disturbances,VARD,Contrastive,UCF101; HMDB51,UCF101; HMDB51,2023,IEEE Transactions on Image Processing 2023,peer_reviewed,10.1109/TIP.2023.3269228,2026-08-11
Masked Video Distillation: Rethinking Masked Feature Modeling for Self-supervised Video Representation Learning,Masked Video Distillation (MVD),Distillation / Teacher-Student,ImageNet-1K; Kinetics-400,Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2023,CVPR 2023,peer_reviewed,,2026-08-11
Enhancing motion visual cues for self-supervised video representation learning,Enhancing Motion Visual Cues (EMVC),Contrastive,UCF101; HMDB51,UCF101; HMDB51,2023,Engineering Applications of Artificial Intelligence 2023,peer_reviewed,10.1016/j.engappai.2023.106203,2026-08-11
Continuous frame motion sensitive self-supervised collaborative network for video representation learning,Continuous-frame motion-sensitive collaborative network,Other / Hybrid,UCF101; HMDB51,UCF101; HMDB51,2023,Advanced Engineering Informatics 2023,peer_reviewed,10.1016/j.aei.2023.101941,2026-08-11
Self-supervised pretext task collaborative multi-view contrastive learning for video action recognition,Pretext-task collaborative multi-view contrastive learning,Other / Hybrid,UCF101; HMDB51,UCF101; HMDB51,2023,"Signal, Image and Video Processing 2023",peer_reviewed,10.1007/s11760-023-02605-z,2026-08-11
