Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Asymmetric Masked Distillation for Pre-Training Small Foundation Models,Asymmetric Masked Distillation (AMD),Generative / Masked,ImageNet-1K; Kinetics-400; Something-Something V2,ImageNet-1K; Kinetics-400; Something-Something V2; UCF101; HMDB51; AVA v2.2,2024,CVPR 2024,peer_reviewed,,2026-08-11
Data Collection-free Masked Video Modeling,Pseudo Motion Generator (PMG) with masked video modeling,Generative / Masked,ImageNet-1K; PASS; FractalDB; Shaders1k; Visual Atom,UCF101; HMDB51; Mini Something-Something V2; Diving48; IKEA Furniture Assembly; UAV-Human; Kinetics-400,2024,ECCV 2024,peer_reviewed,10.1007/978-3-031-73247-8_3,2026-08-11
Text-Guided Video Masked Autoencoder,Text-Guided Masking (TGM),Generative / Masked,Something-Something V2; Kinetics-400,Something-Something V2; Kinetics-400; UCF101; HMDB51; Diving48; EPIC-KITCHENS-55,2024,ECCV 2024,peer_reviewed,10.1007/978-3-031-72652-1_17,2026-08-11
FILS: Self-Supervised Video Feature Prediction In Semantic Language Space,FILS,Generative / Masked,EPIC-KITCHENS-100; Something-Something V2,EPIC-KITCHENS-100; Something-Something V2; Charades-Ego; EGTEA Gaze+,2024,BMVC 2024,peer_reviewed,,2026-08-11
Extending Video Masked Autoencoders to 128 Frames,Long VideoMAE (LVMAE),Generative / Masked,Kinetics-600; Kinetics-710; EPIC-KITCHENS-100; Diving48,EPIC-KITCHENS-100; Diving48; Something-Something V2; FineGym288,2024,NeurIPS 2024,peer_reviewed,10.52202/079017-3856,2026-08-11
Scaling 4D Representations,4DS / SimpleMAE scaling study,Generative / Masked,170M web videos,Perception Test; Waymo Open; RealEstate10K; ScanNet; Something-Something V2; Kinetics-700-2020,2024,arXiv / Preprint,preprint,,2026-08-11
VideoMAC: Video Masked Autoencoders Meet ConvNets,VideoMAC,Generative / Masked,Kinetics-400,DAVIS 2017; VIP; JHMDB,2024,CVPR 2024,peer_reviewed,10.1109/CVPR52733.2024.02145,2026-08-11
Self-supervised Video Object Segmentation with Distillation Learning of Deformable Attention,Deformable-attention distillation for VOS,Distillation / Teacher-Student,DAVIS 2016; DAVIS 2017; YouTube-VOS 2018; YouTube-VOS 2019,DAVIS 2016; DAVIS 2017; YouTube-VOS 2018; YouTube-VOS 2019,2024,arXiv / Preprint,preprint,,2026-08-11
Towards Latent Masked Image Modeling for Self-supervised Visual Representation Learning,Latent MIM,Generative / Masked,ImageNet-100; ImageNet-1K,ImageNet-1K; DAVIS 2017; Caltech101; DTD; Oxford Flowers 102; Oxford-IIIT Pets; Stanford Cars; SUN397; UCF101,2024,ECCV 2024,peer_reviewed,10.1007/978-3-031-72933-1_1,2026-08-11
SIGMA: Sinkhorn-Guided Masked Video Modeling,SIGMA,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; ImageNet-1K; CIFAR-100; FineGym Gym99; FineGym FX-S1; FineGym UB-S1; UCFRep; Charades,2024,ECCV 2024,peer_reviewed,10.1007/978-3-031-72691-0_17,2026-08-11
ST2ST: Self-Supervised Test-time Adaptation for Video Action Recognition,ST2ST,Other / Hybrid,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; Kinetics-400-C; Something-Something V2-C,2024,CVPR Workshops 2024,peer_reviewed,10.1109/CVPRW63382.2024.00112,2026-08-11
Self-supervised learning of video representations from a child's perspective,Spatiotemporal MAE on child-perspective video,Generative / Masked,SAYCam; Kinetics-700; Kinetics-200h,Something-Something V2; Kinetics-700; ImageNet-1K; OOD ImageNet,2024,CogSci 2024,peer_reviewed,,2026-08-11
ViC-MAE: Self-supervised Representation Learning from Images and Video with Contrastive Masked Autoencoders,ViC-MAE,Other / Hybrid,Moments in Time; Kinetics-400; Kinetics-600; Kinetics-700; Kinetics-710; ImageNet-1K,ImageNet-1K; Kinetics-400; Something-Something V2; Places365; Caltech101; CIFAR-10; CIFAR-100; DTD; Flowers102; Food101; Oxford-IIIT Pets; SUN397,2024,ECCV 2024,peer_reviewed,10.1007/978-3-031-73235-5_25,2026-08-11
Learning to Predict Activity Progress by Self-Supervised Video Alignment,Generalized Temporal Cycle Consistency (GTCC),Pretext / Predictive,Pouring; Penn Action; COIN; EgoProceL,Pouring; Penn Action; COIN; EgoProceL; CMU-MMAC; EGTEA Gaze+; MECCANO; EPIC-Tent,2024,CVPR 2024,peer_reviewed,10.1109/CVPR52733.2024.01766,2026-08-11
Repeat and learn: Self-supervised visual representations learning by Repeated Scene Localization,Repeated Scene Localization (RSL),Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2024,Pattern Recognition 2024,peer_reviewed,10.1016/j.patcog.2024.110804,2026-08-11
ES3: Evolving Self-Supervised Learning of Robust Audio-Visual Speech Representations,ES3,Multimodal / Audio-Visual,LRS2-BBC; LRS3-TED,LRS2-BBC; LRS3-TED; CAS-VSR-S101,2024,CVPR 2024,peer_reviewed,10.1109/CVPR52733.2024.02556,2026-08-11
Self-supervised Learning of Semantic Correspondence Using Web Videos,Web-video correspondence mining with domain adaptation,Pretext / Predictive,"2,124 class-retrieved web videos",PF-PASCAL; PF-Willow; SPair-71K,2024,WACV 2024,peer_reviewed,10.1109/WACV57701.2024.00214,2026-08-11
Video Compression and Action Recognition in Self-supervised Learning,Spatiotemporal-context auxiliary learning for compression and recognition,Pretext / Predictive,UCF101,UCF101,2024,IPEC 2024,peer_reviewed,10.1109/IPEC61310.2024.00022,2026-08-11
CycleCL: Self-supervised Learning for Periodic Videos,CycleCL,Contrastive,Industrial periodic-motion videos; Countix,Industrial periodic-motion videos; Countix; QUVA Repetition; PERTUBE,2024,WACV 2024,peer_reviewed,10.1109/WACV57701.2024.00284,2026-08-11
Self-Supervised Learning via Multi-Transformation Classification for Action Recognition,Multi-Transformation Classification,Pretext / Predictive,UCF101; HMDB51,UCF101; HMDB51,2024,ICME Workshops 2024,peer_reviewed,10.1109/ICMEW63481.2024.10645477,2026-08-11
Motion-guided spatiotemporal multitask feature discrimination for self-supervised video representation learning,Motion-guided Spatiotemporal Multitask Feature Discrimination,Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51,2024,Pattern Recognition 2024,peer_reviewed,10.1016/j.patcog.2024.110713,2026-08-11
What When and Where? Self-Supervised Spatio-Temporal Grounding in Untrimmed Multi-Action Videos from Narrated Instructions,Self-supervised narrated spatiotemporal grounding,Multimodal / Audio-Visual,HowTo100M,MiningYouTube; YouCook-Interactions; YouCook2,2024,CVPR 2024,peer_reviewed,10.1109/CVPR52733.2024.01743,2026-08-11
Clustering-based multi-featured self-supervised learning for human activities and video retrieval,CMS2L,Contrastive,UCF101; HMDB51,UCF101; HMDB51,2024,Applied Intelligence 2024,peer_reviewed,10.1007/s10489-024-05460-8,2026-08-11
Positive and negative sampling strategies for self-supervised learning on audio-video data,Class-aware soft-positive audio-visual contrastive sampling,Multimodal / Audio-Visual,VGGSound,VGGSound; TAU Urban Audio-Visual Scenes 2021; FSDnoisy18k,2024,ICASSP Workshops 2024,peer_reviewed,10.1109/ICASSPW62465.2024.10626141,2026-08-11
No More Shortcuts: Realizing the Potential of Temporal Self-Supervision,Out-of-order Frame Localization (OFL) and Time-varying Skiprate Prediction (TSP),Pretext / Predictive,Kinetics-400; UCF101,UCF101; HMDB51; Kinetics-400; Something-Something V2; NTU RGB+D 60; Charades; HVU; DAVIS 2017; JHMDB; CASIA-B,2024,AAAI 2024,peer_reviewed,10.1609/aaai.v38i2.27913,2026-08-11
GLOCAL: A self-supervised learning framework for global and local motion estimation,GLOCAL,Pretext / Predictive,Deep Homography Estimation dataset; NCAA; UCF101,Deep Homography Estimation dataset; NCAA; UCF101,2024,Pattern Recognition Letters 2024,peer_reviewed,10.1016/j.patrec.2023.12.024,2026-08-11
Self-supervised Video Representation Learning via Capturing Semantic Changes Indicated by Saccades,Saccade-inspired semantic-change learning,Contrastive,UCF101; HMDB51,UCF101; HMDB51,2024,IEEE Transactions on Circuits and Systems for Video Technology 2024,peer_reviewed,10.1109/TCSVT.2023.3290938,2026-08-11
MAR: Masked Autoencoders for Efficient Action Recognition,Masked Action Recognition (MAR),Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51,2024,IEEE Transactions on Multimedia 2024,peer_reviewed,10.1109/TMM.2023.3263288,2026-08-11
VicTR: Video-conditioned Text Representations for Activity Recognition,VicTR,Multimodal / Audio-Visual,Kinetics-400,HMDB51; UCF101; Kinetics-400; Charades,2024,CVPR 2024,peer_reviewed,,2026-08-11
Self-Supervised Video Representation Learning by Video Incoherence Detection,Video Incoherence Detection (VID),Pretext / Predictive,UCF101; HMDB51; Kinetics-400,UCF101; HMDB51; Kinetics-400,2024,IEEE Transactions on Cybernetics 2024,peer_reviewed,10.1109/TCYB.2023.3265393,2026-08-11
Structured Video-Language Modeling with Temporal Grouping and Spatial Grounding,S-ViLM,Multimodal / Audio-Visual,Kinetics-400; VideoCC; ActivityNet Captions,MSR-VTT; MSRVTT-QA; MSVD-QA; UCF101; HMDB51; ActivityNet,2024,ICLR 2024,peer_reviewed,,2026-08-11
MotionMAE: Self-supervised Video Representation Learning with Motion-Aware Masked Autoencoders,MotionMAE,Generative / Masked,Kinetics-400; Something-Something V2,Kinetics-400; Something-Something V2; UCF101; HMDB51; DAVIS 2017,2024,BMVC 2024,peer_reviewed,,2026-08-11
EVEREST: Efficient Masked Video Autoencoder by Removing Redundant Spatiotemporal Tokens,EVEREST,Generative / Masked,Kinetics-400; Something-Something V2; Ego4D,Kinetics-400; Something-Something V2; UCF101; HMDB51; Ego4D,2024,ICML 2024,peer_reviewed,,2026-08-11
XKD: Cross-modal Knowledge Distillation with Domain Alignment for Video Representation Learning,XKD,Multimodal / Audio-Visual,Kinetics-Sounds; Kinetics-400; AudioSet,Kinetics-400; UCF101; HMDB51; Kinetics-Sounds; ESC-50; FSD50K,2024,AAAI 2024,peer_reviewed,10.1609/aaai.v38i13.29407,2026-08-11
Controllable Augmentations for Video Representation Learning,Controllable Augmentations,Contrastive,Kinetics-400; UCF101,Kinetics-400; UCF101; HMDB51; ActivityNet,2024,Visual Intelligence 2024,peer_reviewed,10.1007/s44267-023-00034-7,2026-08-11
