Title,Method,Method family,Pretraining datasets,Evaluation datasets,Year,Venue,Publication status,DOI,Verified as of
Inter-intra Variant Dual Representations for Self-supervised Video Recognition,Inter-Intra Variant Dual Representations (IVDR),Contrastive,Kinetics-400; UCF101,Kinetics-400; UCF101; HMDB51,2021,BMVC 2021,peer_reviewed,10.5244/C.35.131,2026-08-11
VIMPAC: Video Pre-Training via Masked Token Prediction and Contrastive Learning,VIMPAC,Generative / Masked,HowTo100M,Something-Something V2; Diving48; UCF101; HMDB51,2021,NeurIPS 2021,peer_reviewed,,2026-08-11
Watching too much television is good: Self-supervised audio-visual representation learning from movies and tv shows,Long-form Audio-Visual Contrastive Learning,Multimodal / Audio-Visual,Long-form movies and TV shows,UCF101; HMDB51; ESC-50,2021,arXiv / Preprint,preprint,,2026-08-11
Temporally coherent embeddings for self-supervised video representation learning,Temporally Coherent Embeddings (TCE),Contrastive,UCF101,UCF101; HMDB51,2021,ICPR 2020,peer_reviewed,,2026-08-11
Audio-visual instance discrimination with cross-modal agreement,AVID-CMA,Multimodal / Audio-Visual,Kinetics-400; AudioSet,UCF101; HMDB51; ESC-50; DCASE,2021,CVPR 2021,peer_reviewed,,2026-08-11
Removing the background by adding the background: Towards background robust self-supervised video representation learning,Background Erasing (BE),Contrastive,Kinetics-400; UCF101; HMDB51,UCF101; HMDB51; Diving48,2021,CVPR 2021,peer_reviewed,,2026-08-11
Enhancing unsupervised video representation learning by decoupling the scene and the motion,Decoupling Scene and Motion (DSM),Contrastive,Kinetics-400; UCF101,UCF101; HMDB51,2021,AAAI 2021,peer_reviewed,,2026-08-11
SeCo: Exploring Sequence Supervision for Unsupervised Representation Learning,SeCo,Contrastive,Kinetics-400,Kinetics-400; ActivityNet; OTB-100; UCF101; HMDB51,2021,AAAI 2021,peer_reviewed,10.1609/aaai.v35i12.17274,2026-08-11
Enhancing self-supervised video representation learning via multi-level feature optimization,Multi-Level Feature Optimization (MFO),Contrastive,Kinetics-400,Kinetics-400; UCF101; HMDB51; Diving48,2021,ICCV 2021,peer_reviewed,,2026-08-11
RSPNet: Relative Speed Perception for Unsupervised Video Representation Learning,RSPNet,Pretext / Predictive,UCF101; Kinetics-400,UCF101; HMDB51,2021,AAAI 2021,peer_reviewed,,2026-08-11
